Date,Close/Last,Volume,Open,High,Low
05/12/2022,$15.69,42817000,$13.57,$16.42,$13.25
05/11/2022,$13.86,44037630,$15.87,$15.96,$13.67
05/10/2022,$15.95,31561940,$17.27,$17.27,$15.35
05/09/2022,$16.35,40917310,$17.335,$17.445,$16.18
05/06/2022,$18.15,25371750,$18.56,$19.08,$17.435
05/05/2022,$18.85,22846530,$19.91,$19.92,$18.35
05/04/2022,$20.26,20505900,$19.325,$20.30,$18.71
05/03/2022,$19.60,16090800,$18.96,$19.68,$18.8101
05/02/2022,$19.06,19301450,$18.08,$19.10,$17.65
04/29/2022,$18.08,19048220,$18.88,$19.49,$18.02
04/28/2022,$18.89,25110340,$18.44,$19.05,$17.50
04/27/2022,$18.07,29054490,$18.68,$18.70,$17.99
04/26/2022,$17.64,39892440,$19.255,$19.34,$17.61
04/25/2022,$19.33,23859360,$18.965,$19.48,$18.76
04/22/2022,$19.11,22323920,$19.64,$20.01,$18.91
04/21/2022,$19.55,23924850,$21.32,$21.87,$19.4749
04/20/2022,$20.87,13957020,$21.205,$21.285,$20.61
04/19/2022,$21.41,18312660,$20.22,$21.445,$19.80
04/18/2022,$20.32,21821420,$20.98,$21.11,$19.86
04/14/2022,$21.01,18857980,$21.88,$22.08,$20.91
04/13/2022,$22.05,22126120,$21.33,$22.13,$20.83
04/12/2022,$21.29,21902600,$22.38,$22.69,$21.10
04/11/2022,$21.70,20100100,$21.625,$22.645,$21.0995
04/08/2022,$21.67,15131060,$22.06,$22.34,$21.55
04/07/2022,$22.32,21276980,$23.10,$23.22,$21.4593
04/06/2022,$22.99,19407070,$23.60,$23.60,$22.61
04/05/2022,$23.73,21146350,$25.21,$26.16,$23.65
04/04/2022,$25.21,17068220,$24.66,$25.43,$24.64
04/01/2022,$24.55,17174970,$25.39,$25.56,$24.26
03/31/2022,$25.40,17399100,$26.54,$26.5492,$25.25
03/30/2022,$26.50,21638420,$27.18,$28.135,$26.20
03/29/2022,$27.36,33667100,$25.56,$27.60,$25.46
03/28/2022,$25.38,18224240,$25.34,$25.9465,$24.64
03/25/2022,$25.16,17276700,$25.94,$26.06,$24.52
03/24/2022,$26.25,14925230,$26.01,$26.57,$25.03
03/23/2022,$25.90,20981250,$26.50,$26.81,$25.7119
03/22/2022,$26.65,30663430,$25.45,$27.25,$25.1212
03/21/2022,$25.39,17521320,$25.85,$26.20,$24.82
03/18/2022,$25.67,34740330,$24.94,$26.15,$24.65
03/17/2022,$24.65,21491170,$23.32,$24.93,$22.8512
03/16/2022,$23.62,28443710,$22.13,$23.895,$22.13
03/15/2022,$21.98,20404170,$21.50,$22.03,$20.49
03/14/2022,$21.55,21366220,$22.63,$23.25,$21.3138
03/11/2022,$22.92,18824700,$24.05,$24.23,$22.81
03/10/2022,$24.21,16508760,$24.91,$24.91,$23.51
03/09/2022,$25.26,18168840,$25.13,$25.5331,$24.75
03/08/2022,$24.24,33349550,$22.855,$25.71,$22.61
03/07/2022,$23.17,35110250,$22.94,$24.41,$22.90
03/04/2022,$22.63,33251940,$22.619,$23.73,$22.01
03/03/2022,$22.63,28893060,$24.49,$24.52,$22.41
03/02/2022,$24.58,24038200,$24.72,$24.77,$23.60
03/01/2022,$24.99,62757690,$24.485,$25.75,$23.38
02/28/2022,$28.98,51761780,$26.74,$29.0499,$26.17
02/25/2022,$26.35,28287180,$25.44,$27.00,$24.56
02/24/2022,$25.28,35062740,$22.012,$25.445,$21.77
02/23/2022,$23.97,27159590,$25.765,$26.19,$23.80
02/22/2022,$25.51,32634500,$25.765,$27.28,$24.94
02/18/2022,$26.59,28475080,$27.825,$28.2799,$25.785
02/17/2022,$28.11,24810580,$28.44,$30.12,$27.92
02/16/2022,$29.00,15842000,$28.335,$29.18,$27.86
02/15/2022,$28.87,22330270,$28.11,$28.89,$27.62
02/14/2022,$27.44,41217450,$25.812,$28.41,$25.68
02/11/2022,$25.84,28761830,$27.525,$28.20,$25.61
02/10/2022,$27.91,24458350,$27.65,$29.40,$27.44
02/09/2022,$28.83,21808580,$27.77,$28.94,$27.59
02/08/2022,$27.43,19193240,$26.80,$27.63,$25.89
02/07/2022,$26.97,22540040,$27.61,$28.33,$26.40
02/04/2022,$27.55,20394510,$26.98,$27.85,$26.21
02/03/2022,$26.95,30180370,$26.50,$28.59,$26.29
